dataset,model,seed,macro_f1,accuracy
ASTD,arabert,42,0.618000,0.741237
ASTD,arabert,43,0.657442,0.775258
ASTD,arabert,44,0.610257,0.745361
ASTD,arabert,45,0.635456,0.761856
ASTD,arabert,46,0.624314,0.741237
ASTD,egybert,42,0.641267,0.772165
ASTD,egybert,43,0.663287,0.785567
ASTD,egybert,44,0.641152,0.769072
ASTD,egybert,45,0.659088,0.773196
ASTD,egybert,46,0.657488,0.769072
ASTD,marbert,42,0.677716,0.798969
ASTD,marbert,43,0.657957,0.781443
ASTD,marbert,44,0.677525,0.790722
ASTD,marbert,45,0.659403,0.776289
ASTD,marbert,46,0.657846,0.776289
