dataset,model,n,f1_mean,f1_std,f1_ci95,acc_mean,acc_std,acc_ci95
ASTD,arabert,5,0.626162,0.003979,0.004940,0.774639,0.003541,0.004397
ASTD,egybert,5,0.600513,0.102021,0.126676,0.775670,0.010376,0.012884
ASTD,marbert,5,0.665765,0.013828,0.017169,0.798557,0.009267,0.011506
AfriSenti_ARQ,arabert,5,0.614023,0.016588,0.020597,0.665971,0.009248,0.011483
AfriSenti_ARQ,dziribert,5,0.675703,0.005536,0.006874,0.731106,0.009781,0.012145
AfriSenti_ARQ,marbert,5,0.691360,0.011117,0.013804,0.732777,0.008888,0.011036
AfriSenti_ARY,arabert,5,0.443298,0.042220,0.052423,0.455184,0.048875,0.060687
AfriSenti_ARY,darijabert,5,0.511105,0.015168,0.018834,0.530496,0.017714,0.021995
AfriSenti_ARY,marbert,5,0.532038,0.015217,0.018894,0.549544,0.017130,0.021270
ArSAS,arabert,5,0.811274,0.003496,0.004340,0.823019,0.004797,0.005956
ArSAS,egybert,5,0.828320,0.001655,0.002055,0.837687,0.002315,0.002874
ArSAS,marbert,5,0.835086,0.005836,0.007246,0.844540,0.005635,0.006997
HARD,arabert,5,0.854880,0.003344,0.004152,0.865922,0.003871,0.004807
HARD,marbert,5,0.858607,0.003222,0.004000,0.870390,0.003479,0.004320
LABR,arabert,5,0.580298,0.011449,0.014216,0.625639,0.006953,0.008633
LABR,marbert,5,0.600969,0.007319,0.009088,0.636968,0.005982,0.007428
MACcorpus,arabert,5,0.863002,0.006407,0.007955,0.886189,0.006429,0.007982
MACcorpus,darijabert,5,0.861269,0.006694,0.008312,0.882255,0.005651,0.007017
MACcorpus,marbert,5,0.899417,0.007671,0.009525,0.914228,0.007945,0.009865
