Dataset,Model,delta_f1,ci_low,ci_high,delta_f1_formatted,p_holm,sig
ASTD,AraBERTv2,-0.039128,-0.077846,-0.000825,-0.039 [-0.078–-0.001],0.0872,✗
ASTD,EgyBERT,-0.034784,-0.068955,-0.001029,-0.035 [-0.069–-0.001],0.0872,✗
ArSAS,AraBERTv2,-0.037230,-0.052754,-0.021693,-0.037 [-0.053–-0.022],0.0000,✓
ArSAS,EgyBERT,-0.021455,-0.034356,-0.008754,-0.021 [-0.034–-0.009],0.0012,✓
AfriSenti_ARQ,AraBERTv2,-0.058075,-0.092602,-0.024475,-0.058 [-0.093–-0.024],0.0016,✓
AfriSenti_ARQ,DziriBERT,-0.011255,-0.042651,0.019840,-0.011 [-0.043–0.020],0.4776,✗
MACcorpus,AraBERTv2,-0.049164,-0.066623,-0.031759,-0.049 [-0.067–-0.032],0.0000,✓
MACcorpus,DarijaBERT,-0.032129,-0.048572,-0.015861,-0.032 [-0.049–-0.016],0.0004,✓
AfriSenti_ARY,AraBERTv2,-0.078774,-0.093444,-0.064207,-0.079 [-0.093–-0.064],0.0000,✓
AfriSenti_ARY,DarijaBERT,-0.012570,-0.026606,0.001402,-0.013 [-0.027–0.001],0.0824,✗
LABR,AraBERTv2,-0.013696,-0.033989,0.006325,-0.014 [-0.034–0.006],0.1808,✗
HARD,AraBERTv2,-0.007776,-0.012981,-0.002577,-0.008 [-0.013–-0.003],0.0028,✓
